id	title	description	link	price	availability	image_link	gtin	mpn	brand	update_type
3726	Battlefield 2042 Standard Edition Electronic Arts Xbox One 	Battlefield 2042 Standard Edition Electronic Arts Xbox One  Con este juego de Battlefield vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.	https://www.gamestoremercadoshopscom.ml/battlefield-2042-standard-edition-electronic-arts-xbox-one-fisico/p/MLM18616303	1484 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_940785-MLA48598643185_122021-O.jpg	00710859275435		Battlefield	merge
3727	Crash Bandicoot N. Sane Trilogy Standard Edition Activision	Crash Bandicoot N. Sane Trilogy Standard Edition Activision Desde su desarrollo las ediciones de Crash se han destacado por la jugabilidad pensada para personas fanáticas de este personaje. Conocido como un juego de plataforma clásico la franquicia fue alternando entre acción aventura y videojuegos de carreras.	https://www.gamestoremercadoshopscom.ml/crash-bandicoot-n-sane-trilogy-standard-edition-activision-ps4-fisico/p/MLM7970492	812 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_993644-MLA44384297995_122020-O.jpg	00710859275442		Crash Bandicoot	merge
3728	Sekiro Shadows Die Twice Standard Edition Activision Xbox O	Sekiro Shadows Die Twice Standard Edition Activision Xbox O Con este juego de Sekiro vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. 	https://www.gamestoremercadoshopscom.ml/sekiro-shadows-die-twice-standard-edition-activision-xbox-one-fisico/p/MLM14797120	894 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_901652-MLA44387637709_122020-O.jpg	00710859275459		Sekiro	merge
3729	Sonic Colors Ultimate SEGA PS4 Físico	Sonic Colors Ultimate SEGA PS4 Físico Con este juego de Sonic the Hedgehog vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.	https://www.gamestoremercadoshopscom.ml/sonic-colors-ultimate-sega-ps4-fisico/p/MLM18708188	848 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_726994-MLA48936326232_012022-O.jpg	00710859275473		Sonic the Hedgehog	merge
3730	Dragon Ball Z Kakarot Standard Edition Bandai Namco Xbox On	Dragon Ball Z Kakarot Standard Edition Bandai Namco Xbox On Con este juego de Dragon Ball vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. 	https://www.gamestoremercadoshopscom.ml/dragon-ball-z-kakarot-standard-edition-bandai-namco-xbox-one-fisico/p/MLM15393901	719 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_948308-MLA44385884406_122020-O.jpg	00710859275480		Dragon Ball	merge
3731	UFC 4 Standard Edition Electronic Arts Xbox One Físico	UFC 4 Standard Edition Electronic Arts Xbox One Físico Con este juego de UFC vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.	https://www.gamestoremercadoshopscom.ml/ufc-4-standard-edition-electronic-arts-xbox-one-fisico/p/MLM16213549	539 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_870952-MLA44504821883_012021-O.jpg	00710859275497		UFC	merge
3732	Dark Souls II Scholar of the First Sin Scholar of the First	Dark Souls II Scholar of the First Sin Scholar of the First Con este juego de Souls vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.	https://www.gamestoremercadoshopscom.ml/dark-souls-ii-scholar-of-the-first-sin-scholar-of-the-first-sin-edition-bandai-namco-ps4-fisico/p/MLM6194071	764 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_646530-MLA40940433834_022020-O.jpg	00710859275503		Souls	merge
3733	Assassins Creed The Ezio Collection Standard Edition Ubisof	Assassins Creed The Ezio Collection Standard Edition Ubisof Con este juego de Assassin s Creed vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.	https://www.gamestoremercadoshopscom.ml/assassins-creed-the-ezio-collection-standard-edition-ubisoft-ps4-fisico/p/MLM7973396	638 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_743976-MLA50172583421_062022-O.jpg	00710859275510		Assassin s Creed	merge
3734	Batman Arkham Knight Standard Edition Warner Bros. Xbox One	Batman Arkham Knight Standard Edition Warner Bros. Xbox One Con este juego de Batman vas a disfrutar de horas de diversión y de nuevos desafíos que te permitirán mejorar como gamer. 	https://www.gamestoremercadoshopscom.ml/batman-arkham-knight-standard-edition-warner-bros-xbox-one-fisico/p/MLM6098136	148 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_768693-MLA51480857039_092022-O.jpg	00710859275527		Batman	merge
3735	Crash Bandicoot 4 It’s About Time Standard Edition Activisi	Crash Bandicoot 4 It’s About Time Standard Edition Activisi Desde su desarrollo las ediciones de Crash se han destacado por la jugabilidad pensada para personas fanáticas de este personaje. Conocido como un juego de plataforma clásico la franquicia fue alternando entre acción aventura y videojuegos de carreras.Interactúa con otros jugadoresPodrás disfrutar de una experiencia inigualable ya que te permite jugar con tus amistades y compartir momentos inolvidables.Diversión sin fronterasPodrás compartir cada juego con personas de todo el mundo ya que es posible conectarse de manera online.	https://www.gamestoremercadoshopscom.ml/crash-bandicoot-4-its-about-time-standard-edition-activision-ps4-fisico/p/MLM16159946	579 MXN	in_stock	https://http2.mlstatic.com/D_NQ_NP_801350-MLA44340121644_122020-O.jpg	00710859275534		Crash Bandicoot	merge
